Label,Isi Post,Akun,Tanggal,Unnamed: 4,Unnamed: 5,tokenization,stop_removal,post_stemmed
Negatif,"ga mau anjinggg ga mauuuu gueeeee programnya bodoh bodoh!!! makan siang gratis? itu program pemerasan dan penindasan massal, korupsi. batalkan, ganti atau kaji ulang. menteri juga aur auran, ngapain banyak banget najis",@kodokodar,11/22/2024,,n,"['ga', 'mau', 'anjinggg', 'ga', 'mauuuu', 'gueeeee', 'programnya', 'bodoh', 'bodoh', 'makan', 'siang', 'gratis', 'itu', 'program', 'pemerasan', 'dan', 'penindasan', 'massal', 'korupsi', 'batalkan', 'ganti', 'atau', 'kaji', 'ulang', 'menteri', 'juga', 'aur', 'auran', 'ngapain', 'banyak', 'banget', 'najis']","['ga', 'anjinggg', 'ga', 'mauuuu', 'gueeeee', 'programnya', 'bodoh', 'bodoh', 'makan', 'siang', 'gratis', 'program', 'pemerasan', 'penindasan', 'massal', 'korupsi', 'batalkan', 'ganti', 'kaji', 'ulang', 'menteri', 'aur', 'auran', 'ngapain', 'banget', 'najis']","['ga', 'anjinggg', 'ga', 'mauuuu', 'gueeeee', 'program', 'bodoh', 'bodoh', 'makan', 'siang', 'gratis', 'program', 'peras', 'tindas', 'massal', 'korupsi', 'batal', 'ganti', 'kaji', 'ulang', 'menteri', 'aur', 'aur', 'ngapain', 'banget', 'najis']"
Negatif,"jadi kepikiran kalau program makan siang gratis tuh sebenernya belum sempet didiskusikan sama prabowo dan timsesnya pada saat itu, alias ini program hasil asbun prabowo di podium debat karena beliaunya emosian",@aromapetrikorr,1/7/2025,,,"['jadi', 'kepikiran', 'kalau', 'program', 'makan', 'siang', 'gratis', 'tuh', 'sebenernya', 'belum', 'sempet', 'didiskusikan', 'sama', 'prabowo', 'dan', 'timsesnya', 'pada', 'saat', 'itu', 'alias', 'ini', 'program', 'hasil', 'asbun', 'prabowo', 'di', 'podium', 'debat', 'karena', 'beliaunya', 'emosian']","['kepikiran', 'program', 'makan', 'siang', 'gratis', 'tuh', 'sebenernya', 'sempet', 'didiskusikan', 'prabowo', 'timsesnya', 'alias', 'program', 'hasil', 'asbun', 'prabowo', 'podium', 'debat', 'beliaunya', 'emosian']","['pikir', 'program', 'makan', 'siang', 'gratis', 'tuh', 'sebenernya', 'sempet', 'diskusi', 'prabowo', 'timsesnya', 'alias', 'program', 'hasil', 'asbun', 'prabowo', 'podium', 'debat', 'beliau', 'emosi']"
Negatif,"sejujurnya, yang gw bingungkan adalah dari semua janji yang diberikan, kenapa harus janji yang tidak realistis yang harus ditepati? gw rasa gak akan ada yang nyadar kalau program makan siang gratis dibatalkan. kalaupun ada ya... salah sendiri",@PetrolWeeb,1/7/2025,,,"['sejujurnya', 'yang', 'gw', 'bingungkan', 'adalah', 'dari', 'semua', 'janji', 'yang', 'diberikan', 'kenapa', 'harus', 'janji', 'yang', 'tidak', 'realistis', 'yang', 'harus', 'ditepati', 'gw', 'rasa', 'gak', 'akan', 'ada', 'yang', 'nyadar', 'kalau', 'program', 'makan', 'siang', 'gratis', 'dibatalkan', 'kalaupun', 'ada', 'ya', 'salah', 'sendiri']","['sejujurnya', 'gw', 'bingungkan', 'janji', 'janji', 'realistis', 'ditepati', 'gw', 'gak', 'nyadar', 'program', 'makan', 'siang', 'gratis', 'dibatalkan', 'ya', 'salah']","['jujur', 'gw', 'bingung', 'janji', 'janji', 'realistis', 'tepat', 'gw', 'gak', 'nyadar', 'program', 'makan', 'siang', 'gratis', 'batal', 'ya', 'salah']"
Positif,"lu ngomong apa sih, kayak yang paling tau prabowo aja. sejak 2019 prabowo sudah punya program makan gratis. lu kalau dongok tuh jangan ajak ajak netizen. jadi ini bukan program baru. sejak 2019 sudah ditawarkan",@karim_speak,1/7/2025,,,"['lu', 'ngomong', 'apa', 'sih', 'kayak', 'yang', 'paling', 'tau', 'prabowo', 'aja', 'sejak', '2019', 'prabowo', 'sudah', 'punya', 'program', 'makan', 'gratis', 'lu', 'kalau', 'dongok', 'tuh', 'jangan', 'ajak', 'ajak', 'netizen', 'jadi', 'ini', 'bukan', 'program', 'baru', 'sejak', '2019', 'sudah', 'ditawarkan']","['lu', 'ngomong', 'sih', 'kayak', 'tau', 'prabowo', 'aja', '2019', 'prabowo', 'program', 'makan', 'gratis', 'lu', 'dongok', 'tuh', 'ajak', 'ajak', 'netizen', 'program', '2019', 'ditawarkan']","['lu', 'ngomong', 'sih', 'kayak', 'tau', 'prabowo', 'aja', '2019', 'prabowo', 'program', 'makan', 'gratis', 'lu', 'dongok', 'tuh', 'ajak', 'ajak', 'netizen', 'program', '2019', 'tawar']"
Negatif,"ke mana mana bagi bagi susu, ketika program makan siang gratis dijalankan kok malah ngak ada susunya? susunya ilang ke mana?",@AbanggSayur,6/1/25,,,"['ke', 'mana', 'mana', 'bagi', 'bagi', 'susu', 'ketika', 'program', 'makan', 'siang', 'gratis', 'dijalankan', 'kok', 'malah', 'ngak', 'ada', 'susunya', 'susunya', 'ilang', 'ke', 'mana']","['susu', 'program', 'makan', 'siang', 'gratis', 'dijalankan', 'ngak', 'susunya', 'susunya', 'ilang']","['susu', 'program', 'makan', 'siang', 'gratis', 'jalan', 'ngak', 'susu', 'susu', 'ilang']"
Negatif,"at some point (kayanya debat ketiga) tiba2 dia bilang program makan gratis juga untuk ibu hamil, pas anies atau ganjar bilang mencegah stunting itu harusnya sebelum bayinya lahir, padahal sebelumnya bilang cuman utk anak sekolah. tapi pas programnya jalan cuman utk anak sekolahan",@ElioAglio,7/1/25,,,"['at', 'some', 'point', 'kayanya', 'debat', 'ketiga', 'tiba2', 'dia', 'bilang', 'program', 'makan', 'gratis', 'juga', 'untuk', 'ibu', 'hamil', 'pas', 'anies', 'atau', 'ganjar', 'bilang', 'mencegah', 'stunting', 'itu', 'harusnya', 'sebelum', 'bayinya', 'lahir', 'padahal', 'sebelumnya', 'bilang', 'cuman', 'utk', 'anak', 'sekolah', 'tapi', 'pas', 'programnya', 'jalan', 'cuman', 'utk', 'anak', 'sekolahan']","['at', 'some', 'point', 'kayanya', 'debat', 'ketiga', 'tiba2', 'bilang', 'program', 'makan', 'gratis', 'hamil', 'pas', 'anies', 'ganjar', 'bilang', 'mencegah', 'stunting', 'bayinya', 'lahir', 'bilang', 'cuman', 'utk', 'anak', 'sekolah', 'pas', 'programnya', 'jalan', 'cuman', 'utk', 'anak', 'sekolahan']","['at', 'some', 'point', 'kaya', 'debat', 'tiga', 'tiba2', 'bilang', 'program', 'makan', 'gratis', 'hamil', 'pas', 'anies', 'ganjar', 'bilang', 'cegah', 'stunting', 'bayi', 'lahir', 'bilang', 'cuman', 'utk', 'anak', 'sekolah', 'pas', 'program', 'jalan', 'cuman', 'utk', 'anak', 'sekolah']"
Positif,"atas nama rakyat indonesia, kemarin tanggal 6 januari 2025. program makan bergizi gratis secara resmi dimulai. hari ini sejarah mencatat, bahwa pemerintah hadir sejak dini dalam investasi membangun bangsa menuju indonesia emas 2045, dengan sumber daya manusia yang unggul, bedaya saing dan tangguh.",@Fahrihamzah,7/1/25,,,"['atas', 'nama', 'rakyat', 'indonesia', 'kemarin', 'tanggal', '6', 'januari', '2025', 'program', 'makan', 'bergizi', 'gratis', 'secara', 'resmi', 'dimulai', 'hari', 'ini', 'sejarah', 'mencatat', 'bahwa', 'pemerintah', 'hadir', 'sejak', 'dini', 'dalam', 'investasi', 'membangun', 'bangsa', 'menuju', 'indonesia', 'emas', '2045', 'dengan', 'sumber', 'daya', 'manusia', 'yang', 'unggul', 'bedaya', 'saing', 'dan', 'tangguh']","['nama', 'rakyat', 'indonesia', 'kemarin', 'tanggal', '6', 'januari', '2025', 'program', 'makan', 'bergizi', 'gratis', 'resmi', 'sejarah', 'mencatat', 'pemerintah', 'hadir', 'investasi', 'membangun', 'bangsa', 'indonesia', 'emas', '2045', 'sumber', 'daya', 'manusia', 'unggul', 'bedaya', 'saing', 'tangguh']","['nama', 'rakyat', 'indonesia', 'kemarin', 'tanggal', '6', 'januari', '2025', 'program', 'makan', 'gizi', 'gratis', 'resmi', 'sejarah', 'catat', 'perintah', 'hadir', 'investasi', 'bangun', 'bangsa', 'indonesia', 'emas', '2045', 'sumber', 'daya', 'manusia', 'unggul', 'bedaya', 'saing', 'tangguh']"
Negatif,"makan gratis yang jatahnya rp 10.000 itu ente sebut bergizi? coba anak ente dikasih makan gratis ini...trus perhatikan perkembangannya, makin pinter atau makin bodoh.",@baharirwan2,7/1/25,,,"['makan', 'gratis', 'yang', 'jatahnya', 'rp', '10', '000', 'itu', 'ente', 'sebut', 'bergizi', 'coba', 'anak', 'ente', 'dikasih', 'makan', 'gratis', 'ini', 'trus', 'perhatikan', 'perkembangannya', 'makin', 'pinter', 'atau', 'makin', 'bodoh']","['makan', 'gratis', 'jatahnya', 'rp', '10', '000', 'ente', 'bergizi', 'coba', 'anak', 'ente', 'dikasih', 'makan', 'gratis', 'trus', 'perhatikan', 'perkembangannya', 'pinter', 'bodoh']","['makan', 'gratis', 'jatah', 'rp', '10', '000', 'ente', 'gizi', 'coba', 'anak', 'ente', 'kasih', 'makan', 'gratis', 'trus', 'perhati', 'kembang', 'pinter', 'bodoh']"
Negatif,"patuhi amanat konstitusi ini jauh lebih utama ketimbang makan siang (dibayar pake pajak rakyat)... anggaran pendidikan rakyat indonesia masih kurang ratusan triliun per tahunnya, jangan dipake untuk program ini itu dulu, alokasikan untuk hal yang jauh lebih penting ini... paham??",@prabu170814,7/1/25,,,"['patuhi', 'amanat', 'konstitusi', 'ini', 'jauh', 'lebih', 'utama', 'ketimbang', 'makan', 'siang', 'dibayar', 'pake', 'pajak', 'rakyat', 'anggaran', 'pendidikan', 'rakyat', 'indonesia', 'masih', 'kurang', 'ratusan', 'triliun', 'per', 'tahunnya', 'jangan', 'dipake', 'untuk', 'program', 'ini', 'itu', 'dulu', 'alokasikan', 'untuk', 'hal', 'yang', 'jauh', 'lebih', 'penting', 'ini', 'paham']","['patuhi', 'amanat', 'konstitusi', 'utama', 'ketimbang', 'makan', 'siang', 'dibayar', 'pake', 'pajak', 'rakyat', 'anggaran', 'pendidikan', 'rakyat', 'indonesia', 'ratusan', 'triliun', 'tahunnya', 'dipake', 'program', 'alokasikan', 'paham']","['patuh', 'amanat', 'konstitusi', 'utama', 'ketimbang', 'makan', 'siang', 'bayar', 'pake', 'pajak', 'rakyat', 'anggar', 'didik', 'rakyat', 'indonesia', 'ratus', 'triliun', 'tahun', 'dipake', 'program', 'alokasi', 'paham']"
Negatif,"tinggal sejarah buat lu, bukan buat anak2 indonesia, anak2 indonesia cuma di kasih makan makanan tak mutu, sialan banget dah, anak lu aja makan lebih dr 10 ribu",@LaiElfrid,7/1/25,,,"['tinggal', 'sejarah', 'buat', 'lu', 'bukan', 'buat', 'anak2', 'indonesia', 'anak2', 'indonesia', 'cuma', 'di', 'kasih', 'makan', 'makanan', 'tak', 'mutu', 'sialan', 'banget', 'dah', 'anak', 'lu', 'aja', 'makan', 'lebih', 'dr', '10', 'ribu']","['tinggal', 'sejarah', 'lu', 'anak2', 'indonesia', 'anak2', 'indonesia', 'kasih', 'makan', 'makanan', 'mutu', 'sialan', 'banget', 'dah', 'anak', 'lu', 'aja', 'makan', 'dr', '10', 'ribu']","['tinggal', 'sejarah', 'lu', 'anak2', 'indonesia', 'anak2', 'indonesia', 'kasih', 'makan', 'makan', 'mutu', 'sial', 'banget', 'dah', 'anak', 'lu', 'aja', 'makan', 'dr', '10', 'ribu']"
